"","Year","Hare","Lynx"
"1",1900,86.8547922357332,12.1145523082949
"2",1900.5,89.5371889180168,8.72543161100339
"3",1901,105.327052148385,16.0428426829675
"4",1901.5,115.524992799802,13.3756007417056
"5",1902,120.06360226751,17.8013493641725
"6",1902.5,119.469377419543,19.8628602529387
"7",1903,125.599870639002,23.5104794486395
"8",1903.5,111.887384582935,26.8117904754547
"9",1904,113.603528661087,28.7240087149455
"10",1904.5,92.0471092797402,29.6551459425787
"11",1905,86.5243482711226,30.1910953219247
"12",1905.5,79.0725471885043,28.2972806236232
"13",1906,49.544286402737,26.6456868590015
"14",1906.5,46.2453763909191,21.9686542809502
"15",1907,41.2911326662278,21.6450108069932
"16",1907.5,43.1797519903504,18.267327467567
"17",1908,40.5364747411138,21.6486022081392
"18",1908.5,34.3570431204785,10.8403631311681
"19",1909,44.2862552654161,11.7888256381664
"20",1909.5,74.2398869536526,7.30741882105364
"21",1910,78.4668070296066,7.08417865108584
"22",1910.5,83.4541376050965,10.981253677077
"23",1911,102.651823312899,10.3526006098538
"24",1911.5,118.434053270859,14.7055023306116
"25",1912,127.51822795813,16.7338039764085
"26",1912.5,117.847654341969,19.4800288037772
"27",1913,116.755913737963,19.705824101711
"28",1913.5,103.544864349027,23.9859085057316
"29",1914,105.811896865852,28.8447196811885
"30",1914.5,89.1607053952025,30.8405722331606
"31",1915,82.2772506162121,28.9891951589337
"32",1915.5,71.1635069111524,29.2682768634482
"33",1916,61.664107518149,29.8999004071374
"34",1916.5,44.5946883479651,28.1705639267305
"35",1917,44.4825149646834,20.2154507239272
"36",1917.5,31.4149566046333,19.0579888628247
"37",1918,38.0354443062964,18.6478170092892
"38",1918.5,43.3847822541193,12.6251364324151
"39",1919,44.4175516585672,11.4093742311701
"40",1919.5,67.8199332594621,10.1224543592121
"41",1920,81.0299930009994,8.24969209814656
"42",1920.5,90.5553932822523,9.84248089491345
"43",1921,107.302226270194,12.2869891214453
"44",1921.5,108.727155639613,13.881409861105
"45",1922,111.200855429708,19.8170937859964
"46",1922.5,122.164090129444,19.7453863333702
"47",1923,113.985294770874,22.8888417273476
"48",1923.5,119.581186083607,27.8291295595556
"49",1924,101.354179078637,26.3729499726095
"50",1924.5,95.6389191920063,29.6239340940115
"51",1925,81.6096263260175,26.8718602213453
"52",1925.5,63.7201255205986,31.602490193788
"53",1926,64.3672275072673,27.1068297176309
"54",1926.5,50.8538167535882,24.3551617914338
"55",1927,42.4065425811918,19.9331736047666
"56",1927.5,41.3827537364573,19.2771039157684
"57",1928,45.35418342847,14.6442558515467
"58",1928.5,48.0884846578968,12.497610933647
"59",1929,41.523139492535,14.0896636922174
"60",1929.5,69.0637349926533,9.94361721520207
"61",1930,78.1638267862924,7.88148536565806
"62",1930.5,93.2868325993229,11.0582626696176
"63",1931,106.420528728531,11.6204020483672
"64",1931.5,119.359363911459,15.8891746551954
"65",1932,114.405800354432,20.4551655947217
"66",1932.5,126.512713160221,18.7219869944567
"67",1933,119.721501250565,24.6644803877115
"68",1933.5,117.553210268484,26.6052005238099
"69",1934,108.115052933158,30.2768179634802
"70",1934.5,95.9650705893391,29.2457747664208
"71",1935,74.7844053071593,31.6481880029617
"72",1935.5,67.1883882919477,25.7780393726434
"73",1936,59.6061807182985,31.0330389630045
"74",1936.5,42.8717034361405,27.0204083978156
"75",1937,39.2435952753248,22.1081262829678
"76",1937.5,42.9049824884084,16.3946137230449
"77",1938,45.7986330373663,17.5308376075342
"78",1938.5,49.9581581677017,14.5309833211775
"79",1939,52.0597084212506,11.5016019482055
"80",1939.5,62.1404157317599,10.5975807414112
"81",1940,87.563535049021,8.85683219325978
"82",1940.5,93.6502869626541,11.4694623699433
"83",1941,103.953611237493,12.9351875590605
"84",1941.5,111.756197087305,14.1506288125373
"85",1942,112.070616176005,14.9178484294754
"86",1942.5,123.059984490202,22.1088696535556
"87",1943,116.956561423076,24.8635730370967
"88",1943.5,111.446896243337,24.76279122085
"89",1944,108.178141734554,25.2965104749398
"90",1944.5,96.4695453275382,30.1152482054891
"91",1945,86.9605818796799,29.2847739100949
"92",1945.5,65.2584506097287,29.7733745020458
"93",1946,59.740332711933,25.0661161894087
"94",1946.5,54.5948725069527,23.3725115520179
"95",1947,36.4037949509548,24.5812279680993
"96",1947.5,35.6960370656108,20.1001777927549
"97",1948,36.2990459439242,17.417795280889
"98",1948.5,40.3432502274884,17.1950524858561
"99",1949,56.8885026745041,11.7719560582532
"100",1949.5,70.9053419232443,6.29281048022341
"101",1950,86.0048268779971,10.6926045288267
